ExpNum,MgmtUnit,Plot,Inventory,SppCode,Month,Year,EXPF,Tree,DBHClass,DBH,TreeCond
1,9,23,22,4,5,2008,5,25100,13,13.1,200
1,9,33,22,1,5,2008,20,71300,4,4.4,100
1,9,43,22,1,5,2008,20,92200,4,3.9,100
1,9,23,22,4,5,2008,5,64800,11,10.7,200
1,9,33,22,1,5,2008,5,72000,5,5.1,400
1,9,43,22,1,5,2008,20,92300,3,2.8,100
1,9,23,22,4,5,2008,5,74500,6,5.8,200
1,9,33,22,1,5,2008,20,72800,3,3.4,900
1,9,43,22,1,5,2008,5,93800,5,5.1,200
1,9,23,22,4,5,2008,5,83100,12,11.8,200
1,9,33,22,1,5,2008,20,72900,3,2.9,900
1,9,43,22,4,5,2008,5,33400,17,16.6,200
1,9,23,22,4,5,2008,5,83700,16,15.5,200
1,9,33,22,1,5,2008,20,81700,3,3.4,100
1,9,43,22,4,5,2008,5,55300,13,12.5,200
1,9,23,22,4,5,2008,5,94400,16,15.8,200
1,9,33,22,1,5,2008,20,81800,3,3.2,900
1,9,43,22,5,5,2008,50,1500,1,1.2,1R0
1,9,23,22,5,5,2008,5,4000,7,6.9,200
1,9,33,22,1,5,2008,20,82100,4,3.9,100
1,9,43,22,5,5,2008,5,33300,6,5.9,200
1,9,23,22,6,5,2008,20,500,4,3.8,900
1,9,33,22,1,5,2008,5,85000,10,10,200
1,9,43,22,5,5,2008,5,84000,7,7.3,200
1,9,23,22,6,5,2008,50,1100,1,0.6,700
1,9,33,22,1,5,2008,50,90600,1,0.7,700
1,9,43,22,6,5,2008,50,900,1,1.3,100
1,9,23,22,6,5,2008,50,1200,1,1.1,100
1,9,33,22,1,5,2008,50,90700,1,1.1,700
1,9,43,22,6,5,2008,50,1000,1,1.4,100
1,9,23,22,6,5,2008,5,4200,,,DP2
1,9,33,22,1,5,2008,50,90800,2,2.2,100
1,9,43,22,6,5,2008,50,1300,1,0.8,100
1,9,23,22,6,5,2008,50,10800,2,2.1,100
1,9,33,22,1,5,2008,20,91000,3,2.5,900
1,9,43,22,6,5,2008,20,2300,3,3.1,100
1,9,23,22,6,5,2008,5,12900,11,10.5,200
1,9,33,22,1,5,2008,20,92000,4,4.1,100
1,9,43,22,6,5,2008,20,22100,3,2.7,900
1,9,44,22,6,5,2008,5,72100,11,10.8,200
1,9,23,22,6,5,2008,5,13900,9,9.2,200
1,9,33,22,1,5,2008,20,92500,3,3.2,900
1,9,43,22,6,5,2008,20,22300,3,2.8,900
1,9,44,22,6,5,2008,5,72200,18,18.1,200
1,9,23,22,6,5,2008,5,14300,17,17,200
1,9,33,22,1,5,2008,20,92600,3,3,900
1,9,43,22,6,5,2008,20,22400,3,3.4,900
1,9,44,22,6,5,2008,5,72300,7,6.6,200
1,9,23,22,6,5,2008,5,14800,11,10.5,200
1,9,33,22,1,5,2008,5,93200,9,9.1,200
1,9,43,22,6,5,2008,50,30700,1,1,100
1,9,44,22,6,5,2008,5,73600,14,13.5,200
1,9,23,22,6,5,2008,5,23400,,,DP2
1,9,33,22,1,5,2008,5,94000,9,9,200
1,9,43,22,6,5,2008,5,33500,7,7.3,200
1,9,44,22,6,5,2008,5,81200,17,16.8,200
1,9,23,22,6,5,2008,5,24200,14,13.6,200
1,9,33,22,4,5,2008,5,12200,5,4.8,4R0
1,9,43,22,6,5,2008,5,35200,7,6.6,200
1,9,44,22,6,5,2008,5,84200,14,14.1,200
1,9,23,22,6,5,2008,5,24700,11,10.9,200
1,9,33,22,4,5,2008,5,34700,10,10.4,200
1,9,43,22,6,5,2008,5,44100,6,6.6,200
1,9,44,22,6,5,2008,5,85000,10,10.4,200
1,9,23,22,6,5,2008,5,25000,7,7,300
1,9,33,22,4,5,2008,5,43200,13,12.6,200
1,9,43,22,6,5,2008,50,51200,1,0.6,700
1,9,44,22,6,5,2008,5,92800,10,9.9,200
1,9,23,22,6,5,2008,50,30500,1,0.8,700
1,9,33,22,4,5,2008,5,44200,10,9.8,200
1,9,43,22,6,5,2008,50,51300,2,1.5,100
1,9,44,22,6,5,2008,5,94100,9,9,200
1,9,23,22,6,5,2008,50,31300,2,1.5,100
1,9,33,22,4,5,2008,5,45300,5,4.8,400
1,9,43,22,6,5,2008,5,52200,12,11.5,200
1,9,44,22,6,5,2008,5,95200,,,DP3
1,9,23,22,6,5,2008,20,31700,3,2.7,900
1,9,33,22,4,5,2008,5,53500,13,13.2,200
1,9,43,22,6,5,2008,50,61200,1,1.1,100
1,9,44,22,10,5,2008,5,24400,,,DP1
1,9,23,22,6,5,2008,20,31800,3,2.8,900
1,9,33,22,4,5,2008,50,60700,1,0.5,700
1,9,43,22,6,5,2008,50,61400,1,1,100
1,9,44,22,15,5,2008,5,35000,15,14.7,200
1,9,23,22,6,5,2008,20,32500,3,2.5,900
1,9,33,22,4,5,2008,5,64900,,,DP4
1,9,43,22,6,5,2008,50,61500,1,0.7,100
1,9,44,22,15,5,2008,5,93400,18,18.3,200
