AUTHOR,LOC,SPCD,AG_DW,ST_OB_D_BH
Clark,11492,313,1.7,1
Clark,11492,316,3.9,1.3
Clark,11492,316,,3
Clark,11492,316,,7.8
Clark,11492,491,,1.1
Clark,11492,491,,2.8
Clark,11492,491,10.8,1.8
Clark,11492,611,,5.7
Clark,11492,611,,5.9
Clark,11492,611,,6.2
Clark,11492,611,,7.9
Clark,11492,611,,8
Clark,11492,611,,8
Clark,11492,611,,9.6
Clark,11492,611,,10.1
Clark,11492,611,,10.5
Clark,11492,611,,12.3
Clark,11492,611,,11.9
Clark,11492,611,,11.9
Clark,11492,611,,14.3
Clark,11492,611,,14.5
Clark,11492,611,,14.3
Clark,11492,611,,15.7
Clark,11492,611,,16.4
Clark,11492,611,,15.6
Clark,11492,611,,18.4
Clark,11492,611,,17.7
Clark,11492,611,,18
Clark,11492,611,,20.7
Clark,11492,611,,19.9
Clark,11492,611,,20.6
Clark,11492,611,,2.3
Clark,11492,611,,5.2
Clark,11492,611,,6.2
Clark,11492,611,,7
Clark,11492,611,,8.1
Clark,11492,611,,7.6
Clark,11492,611,,7.2
Clark,11492,611,,8.2
Clark,11492,611,,8.3
Clark,11492,611,,8.4
Clark,11492,611,,10.1
Clark,11492,611,,10.2
Clark,11492,611,,10.1
Clark,11492,611,,9.6
Clark,11492,611,,9.5
Clark,11492,611,,10.8
Clark,11492,611,,11.5
Clark,11492,611,,12.1
Clark,11492,611,,12.5
Clark,11492,611,,11.8
Clark,11492,611,,12.5
Clark,11492,611,,12.7
Clark,11492,611,,11.1
Clark,11492,611,,12.4
Clark,11492,611,,13.7
Clark,11492,611,,14.1
Clark,11492,611,,16.8
Clark,11492,611,,15.1
Clark,11492,611,,17.6
Clark,11492,611,,17
Clark,11492,611,,1.8
Clark,11492,611,,2.1
Clark,11492,611,,2.2
Clark,11492,611,,2
Clark,11492,611,,2.7
Clark,11492,611,,2.4
Clark,11492,611,,2.2
Clark,11492,611,,2.7
Clark,11492,611,,2.2
Clark,11492,611,,2.5
Clark,11492,611,,4.7
Clark,11492,611,,3.4
Clark,11492,611,,3.6
Clark,11492,611,,3.1
Clark,11492,611,,4
Clark,11492,611,,4.2
Clark,11492,611,,6.3
Clark,11492,611,,6.6
Clark,11492,611,,5.3
Clark,11492,611,,5.9
Clark,11492,611,,5.7
Clark,11492,611,,5
Clark,11492,611,,6.4
Clark,11492,611,,6.2
Clark,11492,611,,5.8
Clark,11492,611,,1.3
Clark,11492,611,,1.3
Clark,11492,611,,6.6
Clark,11492,621,,5.5
Clark,11492,621,,5.5
Clark,11492,621,,5.8
Clark,11492,621,,7.6
Clark,11492,621,,7.8
Clark,11492,621,,8.3
Clark,11492,621,,10.5
Clark,11492,621,,10.4
Clark,11492,621,,10
Clark,11492,621,,12.4
Clark,11492,621,,12.2
Clark,11492,621,,12.1
Clark,11492,621,,14.2
Clark,11492,621,,14.2
Clark,11492,621,,14.2
Clark,11492,621,,16.4
Clark,11492,621,,16.3
Clark,11492,621,,16.3
Clark,11492,621,,18.5
Clark,11492,621,,18.8
Clark,11492,621,,18.2
Clark,11492,621,,19.5
Clark,11492,621,,20.2
Clark,11492,621,,20.3
Clark,11492,621,,15.4
Clark,11492,621,,19.5
Clark,11492,621,,2.7
Clark,11492,621,,4.6
Clark,11492,621,,5.5
Clark,11492,621,,14.4
Clark,11492,762,,5.2
Clark,11492,762,,6.5
Clark,11492,802,,6.1
Clark,11492,802,,6.2
Clark,11492,802,,5.6
Clark,11492,802,,7.6
Clark,11492,802,,8.5
Clark,11492,802,,8.6
Clark,11492,802,,10.4
Clark,11492,802,,10.2
Clark,11492,802,,10.1
Clark,11492,802,,12.3
Clark,11492,802,,12.4
Clark,11492,802,,11.8
Clark,11492,802,,13.3
Clark,11492,802,,14.3
Clark,11492,802,,14.1
Clark,11492,802,,16.6
Clark,11492,802,,16.8
Clark,11492,802,,16.1
Clark,11492,802,,18.8
Clark,11492,802,,17.9
Clark,11492,802,,17.7
Clark,11492,802,,20.9
Clark,11492,802,,19.1
Clark,11492,806,,12.8
Clark,11492,812,,5.3
Clark,11492,812,,6.9
Clark,11492,812,,16
Clark,11492,827,,6.7
Clark,11492,827,,13.9
Clark,11492,827,,2.1
Clark,11492,827,,1.4
Clark,11492,827,90.7,4
Clark,11492,827,,4.2
Clark,11492,827,,4.3
Clark,11492,827,,3.9
Clark,11492,827,,6
Clark,11492,827,,6.5
Clark,11492,827,,5.6
Clark,11492,827,,5.7
Clark,11492,827,,5.9
Clark,11492,827,,6.1
Clark,11492,827,,5.5
Clark,11492,827,,5
Clark,11492,827,,7.1
Clark,11492,833,,7.7
Clark,11492,835,,6.2
Clark,11492,837,,7.7
Clark,11492,837,,10.1
Clark,11492,970,1.4,1
Clark,11492,970,,6.8
Clark,11492,970,,5.8
Clark,11492,970,,6.2
